,gene_ids,feature_types
AC120498.10,ENSG00000277010,Gene Expression
TPSB2,ENSG00000197253,Gene Expression
TPSAB1,ENSG00000172236,Gene Expression
TPSD1,ENSG00000095917,Gene Expression
AC120498.4,ENSG00000260710,Gene Expression
AC120498.9,ENSG00000274751,Gene Expression
UBE2I,ENSG00000103275,Gene Expression
AL031714.1,ENSG00000261505,Gene Expression
BAIAP3,ENSG00000007516,Gene Expression
TSR3,ENSG00000007520,Gene Expression
GNPTG,ENSG00000090581,Gene Expression
AL031709.1,ENSG00000260425,Gene Expression
UNKL,ENSG00000059145,Gene Expression
AL032819.1,ENSG00000260132,Gene Expression
C16orf91,ENSG00000174109,Gene Expression
AL032819.3,ENSG00000284395,Gene Expression
CCDC154,ENSG00000197599,Gene Expression
CLCN7,ENSG00000103249,Gene Expression
AL031600.3,ENSG00000261641,Gene Expression
AL031600.1,ENSG00000260051,Gene Expression
PTX4,ENSG00000251692,Gene Expression
TELO2,ENSG00000100726,Gene Expression
IFT140,ENSG00000187535,Gene Expression
AL031705.1,ENSG00000260646,Gene Expression
TMEM204,ENSG00000131634,Gene Expression
AL133297.2,ENSG00000260989,Gene Expression
CRAMP1,ENSG00000007545,Gene Expression
Z97652.1,ENSG00000226890,Gene Expression
AL031708.1,ENSG00000261732,Gene Expression
JPT2,ENSG00000206053,Gene Expression
MAPK8IP3,ENSG00000138834,Gene Expression
AL031710.1,ENSG00000261399,Gene Expression
AL031717.1,ENSG00000261207,Gene Expression
NME3,ENSG00000103024,Gene Expression
MRPS34,ENSG00000074071,Gene Expression
EME2,ENSG00000197774,Gene Expression
SPSB3,ENSG00000162032,Gene Expression
NUBP2,ENSG00000095906,Gene Expression
IGFALS,ENSG00000099769,Gene Expression
HAGH,ENSG00000063854,Gene Expression
FAHD1,ENSG00000180185,Gene Expression
MEIOB,ENSG00000162039,Gene Expression
LINC00254,ENSG00000281219,Gene Expression
LINC02124,ENSG00000259947,Gene Expression
HS3ST6,ENSG00000162040,Gene Expression
MSRB1,ENSG00000198736,Gene Expression
RPL3L,ENSG00000140986,Gene Expression
NDUFB10,ENSG00000140990,Gene Expression
RPS2,ENSG00000140988,Gene Expression
SNHG9,ENSG00000255198,Gene Expression
RNF151,ENSG00000179580,Gene Expression
AC005363.2,ENSG00000277602,Gene Expression
TBL3,ENSG00000183751,Gene Expression
NOXO1,ENSG00000196408,Gene Expression
GFER,ENSG00000127554,Gene Expression
AC005606.2,ENSG00000261790,Gene Expression
SYNGR3,ENSG00000127561,Gene Expression
AC005606.1,ENSG00000260107,Gene Expression
ZNF598,ENSG00000167962,Gene Expression
NPW,ENSG00000183971,Gene Expression
SLC9A3R2,ENSG00000065054,Gene Expression
NTHL1,ENSG00000065057,Gene Expression
TSC2,ENSG00000103197,Gene Expression
PKD1,ENSG00000008710,Gene Expression
AC009065.6,ENSG00000261240,Gene Expression
AC009065.3,ENSG00000260447,Gene Expression
RAB26,ENSG00000167964,Gene Expression
SNHG19,ENSG00000260260,Gene Expression
TRAF7,ENSG00000131653,Gene Expression
CASKIN1,ENSG00000167971,Gene Expression
MLST8,ENSG00000167965,Gene Expression
BRICD5,ENSG00000182685,Gene Expression
AC009065.7,ENSG00000261532,Gene Expression
PGP,ENSG00000184207,Gene Expression
E4F1,ENSG00000167967,Gene Expression
AC009065.1,ENSG00000259780,Gene Expression
DNASE1L2,ENSG00000167968,Gene Expression
ECI1,ENSG00000167969,Gene Expression
AC009065.8,ENSG00000261663,Gene Expression
RNPS1,ENSG00000205937,Gene Expression
AC009065.4,ENSG00000260778,Gene Expression
ABCA3,ENSG00000167972,Gene Expression
CCNF,ENSG00000162063,Gene Expression
AC106820.3,ENSG00000260095,Gene Expression
AC106820.5,ENSG00000260874,Gene Expression
TEDC2,ENSG00000162062,Gene Expression
AC106820.2,ENSG00000259895,Gene Expression
NTN3,ENSG00000162068,Gene Expression
TBC1D24,ENSG00000162065,Gene Expression
AC093525.2,ENSG00000260272,Gene Expression
ATP6V0C,ENSG00000185883,Gene Expression
AC093525.1,ENSG00000259784,Gene Expression
AMDHD2,ENSG00000162066,Gene Expression
CEMP1,ENSG00000205923,Gene Expression
PDPK1,ENSG00000140992,Gene Expression
AC093525.6,ENSG00000261613,Gene Expression
AC093525.7,ENSG00000269937,Gene Expression
AC093525.4,ENSG00000261140,Gene Expression
AC093525.3,ENSG00000260436,Gene Expression
AC141586.3,ENSG00000261093,Gene Expression
AC141586.2,ENSG00000260176,Gene Expression
KCTD5,ENSG00000167977,Gene Expression
PRSS27,ENSG00000172382,Gene Expression
SRRM2-AS1,ENSG00000205913,Gene Expression
SRRM2,ENSG00000167978,Gene Expression
ELOB,ENSG00000103363,Gene Expression
AC092117.1,ENSG00000276791,Gene Expression
PRSS33,ENSG00000103355,Gene Expression
PRSS41,ENSG00000215148,Gene Expression
PRSS21,ENSG00000007038,Gene Expression
ZG16B,ENSG00000162078,Gene Expression
PRSS22,ENSG00000005001,Gene Expression
AC003965.2,ENSG00000263325,Gene Expression
AC003965.1,ENSG00000263280,Gene Expression
FLYWCH2,ENSG00000162076,Gene Expression
FLYWCH1,ENSG00000059122,Gene Expression
AC004034.1,ENSG00000262482,Gene Expression
KREMEN2,ENSG00000131650,Gene Expression
PKMYT1,ENSG00000127564,Gene Expression
PAQR4,ENSG00000162073,Gene Expression
AC004233.4,ENSG00000274367,Gene Expression
AC004233.2,ENSG00000270168,Gene Expression
AC004233.3,ENSG00000272079,Gene Expression
CLDN9,ENSG00000213937,Gene Expression
CLDN6,ENSG00000184697,Gene Expression
TNFRSF12A,ENSG00000006327,Gene Expression
HCFC1R1,ENSG00000103145,Gene Expression
THOC6,ENSG00000131652,Gene Expression
BICDL2,ENSG00000162069,Gene Expression
AC108134.1,ENSG00000205890,Gene Expression
MMP25,ENSG00000008516,Gene Expression
MMP25-AS1,ENSG00000261971,Gene Expression
IL32,ENSG00000008517,Gene Expression
AC108134.3,ENSG00000262370,Gene Expression
ZSCAN10,ENSG00000130182,Gene Expression
ZNF213-AS1,ENSG00000263072,Gene Expression
ZNF205,ENSG00000122386,Gene Expression
ZNF213,ENSG00000085644,Gene Expression
AC108134.2,ENSG00000261889,Gene Expression
AJ003147.1,ENSG00000262521,Gene Expression
AJ003147.2,ENSG00000262668,Gene Expression
OR1F1,ENSG00000168124,Gene Expression
ZNF200,ENSG00000010539,Gene Expression
MEFV,ENSG00000103313,Gene Expression
LINC00921,ENSG00000281005,Gene Expression
ZNF263,ENSG00000006194,Gene Expression
TIGD7,ENSG00000140993,Gene Expression
ZNF75A,ENSG00000162086,Gene Expression
AC004232.2,ENSG00000262899,Gene Expression
OR2C1,ENSG00000168158,Gene Expression
AC025283.3,ENSG00000285329,Gene Expression
MTRNR2L4,ENSG00000232196,Gene Expression
ZSCAN32,ENSG00000140987,Gene Expression
AC025283.2,ENSG00000262621,Gene Expression
ZNF174,ENSG00000103343,Gene Expression
ZNF597,ENSG00000167981,Gene Expression
NAA60,ENSG00000122390,Gene Expression
C16orf90,ENSG00000215131,Gene Expression
CLUAP1,ENSG00000103351,Gene Expression
NLRC3,ENSG00000167984,Gene Expression
AC004494.1,ENSG00000262312,Gene Expression
AC006111.1,ENSG00000261938,Gene Expression
SLX4,ENSG00000188827,Gene Expression
DNASE1,ENSG00000213918,Gene Expression
TRAP1,ENSG00000126602,Gene Expression
AC006111.3,ENSG00000276754,Gene Expression
CREBBP,ENSG00000005339,Gene Expression
ADCY9,ENSG00000162104,Gene Expression
AC005736.3,ENSG00000263159,Gene Expression
AC009171.2,ENSG00000263105,Gene Expression
SRL,ENSG00000185739,Gene Expression
LINC01569,ENSG00000262468,Gene Expression
TFAP4,ENSG00000090447,Gene Expression
GLIS2,ENSG00000126603,Gene Expression
GLIS2-AS1,ENSG00000262686,Gene Expression
PAM16,ENSG00000217930,Gene Expression
CORO7-PAM16,ENSG00000103426,Gene Expression
CORO7,ENSG00000262246,Gene Expression
VASN,ENSG00000168140,Gene Expression
DNAJA3,ENSG00000103423,Gene Expression
NMRAL1,ENSG00000153406,Gene Expression
HMOX2,ENSG00000103415,Gene Expression
CDIP1,ENSG00000089486,Gene Expression
C16orf96,ENSG00000205832,Gene Expression
AC023830.2,ENSG00000261789,Gene Expression
UBALD1,ENSG00000153443,Gene Expression
MGRN1,ENSG00000102858,Gene Expression
AC023830.1,ENSG00000261442,Gene Expression
NUDT16L1,ENSG00000168101,Gene Expression
ANKS3,ENSG00000168096,Gene Expression
C16orf71,ENSG00000166246,Gene Expression
ZNF500,ENSG00000103199,Gene Expression
SEPT12,ENSG00000140623,Gene Expression
SMIM22,ENSG00000267795,Gene Expression
AC020663.2,ENSG00000267077,Gene Expression
ROGDI,ENSG00000067836,Gene Expression
GLYR1,ENSG00000140632,Gene Expression
UBN1,ENSG00000118900,Gene Expression
PPL,ENSG00000118898,Gene Expression
SEC14L5,ENSG00000103184,Gene Expression
NAGPA-AS1,ENSG00000267072,Gene Expression
NAGPA,ENSG00000103174,Gene Expression
ALG1,ENSG00000033011,Gene Expression
C16orf89,ENSG00000153446,Gene Expression
EEF2KMT,ENSG00000118894,Gene Expression
AC026458.2,ENSG00000267070,Gene Expression
LINC02164,ENSG00000261811,Gene Expression
RBFOX1,ENSG00000078328,Gene Expression
LINC01570,ENSG00000260338,Gene Expression
AC005774.1,ENSG00000261198,Gene Expression
AC093515.1,ENSG00000260289,Gene Expression
AC018767.2,ENSG00000260003,Gene Expression
LINC02152,ENSG00000261319,Gene Expression
AC018767.3,ENSG00000260058,Gene Expression
AC018767.1,ENSG00000259819,Gene Expression
AC074052.2,ENSG00000261066,Gene Expression
TMEM114,ENSG00000232258,Gene Expression
METTL22,ENSG00000067365,Gene Expression
ABAT,ENSG00000183044,Gene Expression
TMEM186,ENSG00000184857,Gene Expression
PMM2,ENSG00000140650,Gene Expression
AC012173.1,ENSG00000260350,Gene Expression
AC022167.2,ENSG00000260276,Gene Expression
CARHSP1,ENSG00000153048,Gene Expression
AC022167.1,ENSG00000259939,Gene Expression
AC022167.4,ENSG00000261481,Gene Expression
AC022167.5,ENSG00000283516,Gene Expression
USP7,ENSG00000187555,Gene Expression
AC022167.3,ENSG00000260979,Gene Expression
AC087190.2,ENSG00000261392,Gene Expression
C16orf72,ENSG00000182831,Gene Expression
AC087190.1,ENSG00000260349,Gene Expression
LINC02177,ENSG00000261617,Gene Expression
LINC01177,ENSG00000261397,Gene Expression
LINC01195,ENSG00000261075,Gene Expression
AC007221.1,ENSG00000260071,Gene Expression
AC007221.2,ENSG00000283003,Gene Expression
AC007218.1,ENSG00000260362,Gene Expression
GRIN2A,ENSG00000183454,Gene Expression
AC007218.2,ENSG00000283221,Gene Expression
AC133565.1,ENSG00000261810,Gene Expression
ATF7IP2,ENSG00000166669,Gene Expression
AC131649.1,ENSG00000260756,Gene Expression
LINC01290,ENSG00000260468,Gene Expression
EMP2,ENSG00000213853,Gene Expression
AC027277.1,ENSG00000256013,Gene Expression
TEKT5,ENSG00000153060,Gene Expression
AC007595.1,ENSG00000263279,Gene Expression
NUBP1,ENSG00000103274,Gene Expression
TVP23A,ENSG00000166676,Gene Expression
AC133065.1,ENSG00000262151,Gene Expression
CIITA,ENSG00000179583,Gene Expression
DEXI,ENSG00000182108,Gene Expression
CLEC16A,ENSG00000038532,Gene Expression
AC007014.1,ENSG00000262020,Gene Expression
AC007220.1,ENSG00000263033,Gene Expression
RMI2,ENSG00000175643,Gene Expression
SOCS1,ENSG00000185338,Gene Expression
TNP2,ENSG00000178279,Gene Expression
PRM3,ENSG00000178257,Gene Expression
PRM2,ENSG00000122304,Gene Expression
PRM1,ENSG00000175646,Gene Expression
AC009121.2,ENSG00000263080,Gene Expression
AC009121.1,ENSG00000262703,Gene Expression
AC099489.1,ENSG00000188897,Gene Expression
AC099489.3,ENSG00000262999,Gene Expression
LITAF,ENSG00000189067,Gene Expression
SNN,ENSG00000184602,Gene Expression
TXNDC11,ENSG00000153066,Gene Expression
AC007613.1,ENSG00000262420,Gene Expression
ZC3H7A,ENSG00000122299,Gene Expression
AC010654.1,ENSG00000277369,Gene Expression
BCAR4,ENSG00000262117,Gene Expression
RSL1D1,ENSG00000171490,Gene Expression
AC007216.4,ENSG00000263307,Gene Expression
GSPT1,ENSG00000103342,Gene Expression
AC007216.2,ENSG00000261216,Gene Expression
NPIPB2,ENSG00000234719,Gene Expression
TNFRSF17,ENSG00000048462,Gene Expression
SNX29,ENSG00000048471,Gene Expression
AC007216.1,ENSG00000260488,Gene Expression
AC007601.1,ENSG00000175604,Gene Expression
AC007601.2,ENSG00000261293,Gene Expression
AC007598.2,ENSG00000261394,Gene Expression
AC010333.1,ENSG00000259876,Gene Expression
AC010333.2,ENSG00000259899,Gene Expression
AC010333.3,ENSG00000274834,Gene Expression
CPPED1,ENSG00000103381,Gene Expression
AC109597.1,ENSG00000260378,Gene Expression
AC109597.2,ENSG00000261158,Gene Expression
SHISA9,ENSG00000237515,Gene Expression
AC009134.1,ENSG00000262116,Gene Expression
U91319.1,ENSG00000262801,Gene Expression
AC003009.1,ENSG00000262011,Gene Expression
U95743.1,ENSG00000262267,Gene Expression
ERCC4,ENSG00000175595,Gene Expression
AC010401.1,ENSG00000262732,Gene Expression
AC010401.2,ENSG00000263234,Gene Expression
LINC02185,ENSG00000262097,Gene Expression
LINC02186,ENSG00000261856,Gene Expression
MKL2,ENSG00000186260,Gene Expression
AC130650.2,ENSG00000276564,Gene Expression
AC130650.1,ENSG00000262529,Gene Expression
MIR193BHG,ENSG00000262454,Gene Expression
LINC02130,ENSG00000260009,Gene Expression
AC040173.1,ENSG00000263257,Gene Expression
PARN,ENSG00000140694,Gene Expression
BFAR,ENSG00000103429,Gene Expression
PLA2G10,ENSG00000069764,Gene Expression
AC009167.1,ENSG00000261523,Gene Expression
NPIPA3,ENSG00000224712,Gene Expression
AC136443.4,ENSG00000261695,Gene Expression
NPIPA2,ENSG00000254852,Gene Expression
NOMO1,ENSG00000103512,Gene Expression
AC136443.3,ENSG00000257264,Gene Expression
AC138932.2,ENSG00000258354,Gene Expression
NPIPA1,ENSG00000183426,Gene Expression
PDXDC1,ENSG00000179889,Gene Expression
AC138932.5,ENSG00000275910,Gene Expression
NTAN1,ENSG00000157045,Gene Expression
RRN3,ENSG00000085721,Gene Expression
AC126763.1,ENSG00000257391,Gene Expression
NPIPA5,ENSG00000183793,Gene Expression
MPV17L,ENSG00000156968,Gene Expression
AC140504.1,ENSG00000261130,Gene Expression
C16orf45,ENSG00000166780,Gene Expression
MARF1,ENSG00000166783,Gene Expression
AC026401.1,ENSG00000257769,Gene Expression
NDE1,ENSG00000072864,Gene Expression
AC026401.3,ENSG00000280206,Gene Expression
MYH11,ENSG00000133392,Gene Expression
AF001548.2,ENSG00000263335,Gene Expression
AF001548.1,ENSG00000263065,Gene Expression
FOPNL,ENSG00000133393,Gene Expression
AC130651.1,ENSG00000262171,Gene Expression
ABCC1,ENSG00000103222,Gene Expression
ABCC6,ENSG00000091262,Gene Expression
AC136624.1,ENSG00000262332,Gene Expression
NOMO3,ENSG00000103226,Gene Expression
AC136624.2,ENSG00000262848,Gene Expression
AC138969.3,ENSG00000257366,Gene Expression
AC138969.1,ENSG00000183889,Gene Expression
NPIPA7,ENSG00000214967,Gene Expression
AC092326.1,ENSG00000260126,Gene Expression
XYLT1,ENSG00000103489,Gene Expression
AC109446.3,ENSG00000261448,Gene Expression
AC109495.1,ENSG00000260945,Gene Expression
AC025277.1,ENSG00000261555,Gene Expression
AC010601.1,ENSG00000259929,Gene Expression
AC091489.1,ENSG00000260242,Gene Expression
NPIPA8,ENSG00000214940,Gene Expression
AC126755.2,ENSG00000233024,Gene Expression
AC126755.4,ENSG00000257563,Gene Expression
AC126755.3,ENSG00000257527,Gene Expression
NOMO2,ENSG00000185164,Gene Expression
AC136618.1,ENSG00000260550,Gene Expression
RPS15A,ENSG00000134419,Gene Expression
AC138811.2,ENSG00000260342,Gene Expression
ARL6IP1,ENSG00000170540,Gene Expression
AC138811.1,ENSG00000260017,Gene Expression
SMG1,ENSG00000157106,Gene Expression
AC092287.1,ENSG00000260352,Gene Expression
TMC7,ENSG00000170537,Gene Expression
AC099518.4,ENSG00000261465,Gene Expression
AC099518.2,ENSG00000261357,Gene Expression
COQ7,ENSG00000167186,Gene Expression
AC099518.1,ENSG00000260430,Gene Expression
AC099518.6,ENSG00000278389,Gene Expression
ITPRIPL2,ENSG00000205730,Gene Expression
AC099518.3,ENSG00000261427,Gene Expression
AC099518.5,ENSG00000261759,Gene Expression
SYT17,ENSG00000103528,Gene Expression
CLEC19A,ENSG00000261210,Gene Expression
AC130456.2,ENSG00000259925,Gene Expression
TMC5,ENSG00000103534,Gene Expression
AC130456.4,ENSG00000260681,Gene Expression
AC130456.3,ENSG00000260592,Gene Expression
AC130456.5,ENSG00000260934,Gene Expression
GDE1,ENSG00000006007,Gene Expression
CCP110,ENSG00000103540,Gene Expression
VPS35L,ENSG00000103544,Gene Expression
AC002550.2,ENSG00000276571,Gene Expression
KNOP1,ENSG00000103550,Gene Expression
AC002550.1,ENSG00000261312,Gene Expression
IQCK,ENSG00000174628,Gene Expression
AC027130.1,ENSG00000261195,Gene Expression
GPRC5B,ENSG00000167191,Gene Expression
GPR139,ENSG00000180269,Gene Expression
AC092132.1,ENSG00000263253,Gene Expression
GP2,ENSG00000169347,Gene Expression
UMOD,ENSG00000169344,Gene Expression
PDILT,ENSG00000169340,Gene Expression
AC106796.1,ENSG00000263237,Gene Expression
ACSM5,ENSG00000183549,Gene Expression
AC137056.1,ENSG00000262995,Gene Expression
ACSM2A,ENSG00000183747,Gene Expression
ACSM2B,ENSG00000066813,Gene Expression
AC141273.1,ENSG00000260201,Gene Expression
ACSM3,ENSG00000005187,Gene Expression
ACSM1,ENSG00000166743,Gene Expression
THUMPD1,ENSG00000066654,Gene Expression
AC004381.1,ENSG00000260510,Gene Expression
ERI2,ENSG00000196678,Gene Expression
REXO5,ENSG00000005189,Gene Expression
DCUN1D3,ENSG00000188215,Gene Expression
LYRM1,ENSG00000102897,Gene Expression
DNAH3,ENSG00000158486,Gene Expression
AC008551.1,ENSG00000263331,Gene Expression
TMEM159,ENSG00000011638,Gene Expression
AF001550.1,ENSG00000262983,Gene Expression
ZP2,ENSG00000103310,Gene Expression
ANKS4B,ENSG00000175311,Gene Expression
CRYM,ENSG00000103316,Gene Expression
NPIPB3,ENSG00000169246,Gene Expression
AC005632.4,ENSG00000273956,Gene Expression
METTL9,ENSG00000197006,Gene Expression
IGSF6,ENSG00000140749,Gene Expression
OTOA,ENSG00000155719,Gene Expression
AC092375.2,ENSG00000260306,Gene Expression
NPIPB4,ENSG00000185864,Gene Expression
AC092119.2,ENSG00000274460,Gene Expression
UQCRC2,ENSG00000140740,Gene Expression
PDZD9,ENSG00000155714,Gene Expression
AC092119.3,ENSG00000275445,Gene Expression
MOSMO,ENSG00000185716,Gene Expression
AC009019.1,ENSG00000260277,Gene Expression
VWA3A,ENSG00000175267,Gene Expression
SDR42E2,ENSG00000183921,Gene Expression
EEF2K,ENSG00000103319,Gene Expression
AC009034.1,ENSG00000261113,Gene Expression
POLR3E,ENSG00000058600,Gene Expression
CDR2,ENSG00000140743,Gene Expression
AC092338.1,ENSG00000260635,Gene Expression
AC092338.2,ENSG00000260790,Gene Expression
NPIPB5,ENSG00000243716,Gene Expression
AC009021.2,ENSG00000260973,Gene Expression
AC009021.1,ENSG00000260905,Gene Expression
AC130466.1,ENSG00000283213,Gene Expression
HS3ST2,ENSG00000122254,Gene Expression
AC127459.2,ENSG00000261090,Gene Expression
USP31,ENSG00000103404,Gene Expression
SCNN1G,ENSG00000166828,Gene Expression
AC099482.1,ENSG00000260741,Gene Expression
SCNN1B,ENSG00000168447,Gene Expression
COG7,ENSG00000168434,Gene Expression
AC008915.2,ENSG00000260136,Gene Expression
GGA2,ENSG00000103365,Gene Expression
EARS2,ENSG00000103356,Gene Expression
UBFD1,ENSG00000103353,Gene Expression
NDUFAB1,ENSG00000004779,Gene Expression
PALB2,ENSG00000083093,Gene Expression
AC008870.4,ENSG00000261723,Gene Expression
DCTN5,ENSG00000166847,Gene Expression
PLK1,ENSG00000166851,Gene Expression
AC008870.3,ENSG00000261266,Gene Expression
ERN2,ENSG00000134398,Gene Expression
AC012317.1,ENSG00000261583,Gene Expression
CHP2,ENSG00000166869,Gene Expression
PRKCB,ENSG00000166501,Gene Expression
LINC2194,ENSG00000260264,Gene Expression
CACNG3,ENSG00000006116,Gene Expression
AC008938.1,ENSG00000260072,Gene Expression
RBBP6,ENSG00000122257,Gene Expression
TNRC6A,ENSG00000090905,Gene Expression
LINC01567,ENSG00000224310,Gene Expression
AC008731.1,ENSG00000261669,Gene Expression
SLC5A11,ENSG00000158865,Gene Expression
ARHGAP17,ENSG00000140750,Gene Expression
LINC02175,ENSG00000262155,Gene Expression
LCMT1,ENSG00000205629,Gene Expression
LCMT1-AS2,ENSG00000260034,Gene Expression
AQP8,ENSG00000103375,Gene Expression
ZKSCAN2,ENSG00000155592,Gene Expression
AC008741.1,ENSG00000259955,Gene Expression
AC008741.2,ENSG00000274925,Gene Expression
LINC02191,ENSG00000261636,Gene Expression
HS3ST4,ENSG00000182601,Gene Expression
AC009158.1,ENSG00000231876,Gene Expression
LINC02195,ENSG00000236481,Gene Expression
AC009035.1,ENSG00000260580,Gene Expression
C16orf82,ENSG00000234186,Gene Expression
AC092725.1,ENSG00000261482,Gene Expression
LINC02129,ENSG00000261045,Gene Expression
KDM8,ENSG00000155666,Gene Expression
AC109449.1,ENSG00000259940,Gene Expression
NSMCE1,ENSG00000169189,Gene Expression
AC106739.1,ENSG00000245888,Gene Expression
AC106739.2,ENSG00000274092,Gene Expression
IL4R,ENSG00000077238,Gene Expression
IL21R,ENSG00000103522,Gene Expression
IL21R-AS1,ENSG00000259954,Gene Expression
GTF3C1,ENSG00000077235,Gene Expression
KIAA0556,ENSG00000047578,Gene Expression
